"THE SOLAR SYSTEM","None","Objects that pass closer to the sun than Mercury have been named for this mythological figure","Icarus"
"U.S. SENATE HISTORY","None","Of the 15 expulsions of senators in the Senate's 215-year history, 11 took place in this year","1861"
"BALLET","None","Russian, Chinese, Arabian & Spanish dances are highlights of this ballet that premiered December 18, 1892","The Nutcracker"
"COMPOSERS","None","An anthem that he composed for George II's 1727 coronation has been used for British crownings ever since","George Frideric Handel"
"'90s NONFICTION","None","Around 3 years on the bestseller list, this book is subtitled "An Old Man, A Young Man and Life's Greatest Lesson"","\"Tuesdays With Morrie\""
"WORLD LEADERS","None","Current European head of state whose last name means "cabbage"","Helmut Kohl (of Germany)"
"FLAGS","None","In a policy begun in 2002 as a symbol of the War on Terrorism, U.S. Navy ships fly the 18th c. flag with this 4-word motto","Dont tread on me"
"ASTRONOMY","None","In July 2011 it completed its first orbit around the Sun since its discovery in 1846","Neptune"
"LEGENDARY PUBLIC SERVANTS","None","In 1929 he became a special agent with the Treasury Department's Prohibition Bureau, Chicago Division","Eliot Ness"
"THE CABINET","None","He's been both the youngest & the oldest U.S. Secretary of Defense in history","Donald Rumsfeld"
"THE OLD WEST","None","This outlaw's father, a minister, gave him his first & middle names after an 18th century English clergyman","John Wesley Hardin"
"COMPOSERS","None","One of this Russian's best-known works is the fiendishly difficult Piano Concerto No. 3 of 1909","Sergei Rachmaninoff"
"RARITIES","None","All 6 examples of his signature known to exist date from between 1612 & 1616","William Shakespeare"
"HOLIDAYS & OBSERVANCES","None","Decreed by Congress in 1989, National Tap Dance Day falls on the May 25th birthday of this man born in 1878","Bill Robinson"
"U.S. STAMPS","None","FDR's in 1982 was the last stamp to show 1 of these; they were removed from photos of Jackson Pollock & Edward R. Murrow","Cigarette"
"WORDS","None","It's the common English word that is pronounced differently when it becomes the name of a language","polish/Polish"
"THE UNITED NATIONS","None","Of the 5 permanent members of the U.N. Security Council, the one that's the smallest in area","the United Kingdom"
"THE USA","None","In area, they're the largest & smallest states that joined the Union in the 19th century","Texas & West Virginia"
"ENGLISH LITERATURE","None","This work says, "Better to reign in Hell, than serve in Heaven"","Paradise Lost"
"OLD NAMES IN THE NEWS","None","After running pyramid schemes & spending time in federal prison, he was deported back to Italy in 1934","Carlo Ponzi"
"FIELDS OF SCIENCE","None","Ludwig Prandtl, an expert in wind tunnel & wing design, is called "The Father of" this aviation-related field","aerodynamics"
"ANIMALS","None","This animal's name is from Bantu for "mock man"","Chimpanzee"
"WOMEN IN POEMS","None","Poe wrote "To" her, "Thy hyacinth hair, thy classic face, thy naiad airs have brought me home..."","Helen"
"AMERICANA","None","A monument at this Nebraska site bears the words "He ain't heavy, Father... he's m' brother"","Boys Town"
"FAMOUS NAMES","None","Jefferson called him "Attila of the age dethroned... shut up within the circle of a little island of the Mediterranean"","Napoleon"
"WORLD MONUMENTS","None","A statue of Chang & Eng Bunker stands in Samut Songkram in this country","Thailand"
"ANCIENT TIMES","None","This city didn't exist at the time of the Trojan War so Paris couldn't have abducted Helen from there","Sparta (Helen was married to the king of Sparta)"
"U.S. HISTORY","None","A 1924 law gave citizenship to all these members of what were called "domestic dependent nations"","Native Americans"
"MODERN AFRICAN HISTORY","None","Africa's newest independent state, it was an Italian colony until WWII, & later incorporated into another country","Eritrea (formerly part of Ethiopia)"
"2011 EVENTS","None","To mark an historic visit, on May 17 an Irish army band played this song followed by Ireland's anthem","\"God Save The Queen\""
"AUTHORS","None","Chapters in a 1914 novel by this author include "Jungle Battles", "His Own Kind" & "The Call of the Primitive"","Edgar Rice Burroughs"
"PULITZER PRIZE-WINNING PLAYS","None","This play says "Then transfer to one called Cemeteries and ride six blocks and get off at--Elysian Fields!"","A Streetcar Named Desire"
"LITERARY CHARACTERS","None","The name of this character from an 18th century French work is from the Greek for "all tongues"","Dr. Pangloss"
"BUSINESS & INDUSTRY","None","Most of this firm's 70,000 seasonal white-collar employees work only 4 months a year","H&R Block"
"20th CENTURY BOOKS","None","This 1972 book, a bestseller in 2005, begins, "We were somewhere around Barstow... when the drugs began to take hold"","Fear and Loathing in Las Vegas (by Hunter Thompson)"
"HISTORIC AMERICAN PLACES","None","Over 260,000 people have been buried here, starting in 1864","Arlington National Cemetery"
"18th CENTURY AUTHORS","None","In a poem he named himself Cadenus, an anagram of Decanus, or "Dean"","Jonathan Swift"
"CHILDREN'S LITERATURE","None","This 1952 classic contains the line "No one was with her when she died"","Charlotte's Web"
"UNIVERSITY GEOGRAPHY","None","Around 1830 the first Catholic priest ordained in the U.S. obtained land in this state where a university now stands","Indiana"
"ARTISTS","None","In 1882 he wrote, "Though I am often in the depths of misery, there is still calmness, pure harmony, and music inside me"","Vincent van Gogh"
"NEWSPAPERS","None","Sime Silverman founded it in 1905 after he was fired from another paper for panning a show","Variety"
"VOLCANOES","None","In the last 400 years, over 2/3 of all the deaths caused by volcanoes occurred in what is now this nation","Indonesia"
"U.S. LANDMARKS","None","Opened in 1962, its paint included Astronaut White for the supports & Re-entry Red for the "halo"","the Space Needle (in Seattle)"
"CONTEMPORARY AMERICANS","None","In December 1996 his reference to "Irrational Exuberance" sent stock prices plunging around the world","Alan Greenspan"
"SCIENCE HISTORY","None","This concept dates to a 1783 paper by John Michell, who theorized about a body with the sun's density & 500 times its diameter","a black hole"
"PLAYWRIGHTS","None","His 1840s romance with an older housemaid in Grimstad may have inspired his later themes of guilt & social hypocrisy","Henrik Ibsen"
"FAMOUS PHRASES","None","This expression comes from a 1956 novel about Frank Skeffington's final run for mayor","\"the last hurrah\""
"RECORD SETTERS","None","On August 6 & 7, 1961, Gherman Titov did this 17 times; the previous record was one","orbit the Earth"
"THE CABINET","None","The seal of this cabinet department has an anvil on it","Department of Labor"
"THE CALENDAR","None","The only day of the week named for a Roman god","Saturday"
"STATE CAPITALS","None","Like its major streets Hope, Benefit & Friendship, its name is an abstraction","Providence, Rhode Island"
"19th CENTURY NOVELS","None","This novel's first epilogue says, "the activity of Alexander or of Napoleon cannot be called useful or harmful"","War and Peace"
"U.S. LAKES","None","This lake is the remnant of former Lake Bonneville, which existed during the Pleistocene epoch","The Great Salt Lake"
"U.S. PRESIDENTS","None","2 of the 5 presidents in the 20th century who were former U.S. senators","(2 of) Warren Harding, Harry Truman, John Kennedy, Lyndon Johnson & Richard Nixon"
"WORDS & PHRASES","None","Once slang for brain, this 2-word phrase now means the Heritage Foundation or the Brookings Institution","a think tank"
"WORLD LEADERS","None","From 1964 to 1982 this man was leader of a nation with nuclear weapons","Leonid Brezhnev (of the Soviet Union)"
"TELEVISION","None","The television documentary "America's Favorite Neighbor" was a tribute to him","Fred Rogers"
"MUSIC LEGENDS","None","His 2003 People magazine obituary was headlined "Fade to Black"","Johnny Cash"
"OLYMPIC CITIES","None","This city's Olympics were exactly 200 years after the death of the British cabinet secretary it was named for","Sydney"
"WORLD GEOGRAPHY","None","It's the northernmost mountain in the world over 20,000 feet in elevation","Mt. McKinley (Denali)"
"THE INTERNET","None","On March 10, 2003 this nation got control of the .af Internet domain","Afghanistan"
"MONARCHS","None","One of two English kings since William The Conqueror who were never crowned","Edward V & Edward VIII"
"FACTS ABOUT THE PRESIDENTS","None","He was the only 20th century president who had previously served as U.S. House Minority Leader","Gerald Ford"
"U.S. GOVERNMENT","None","On Jan. 1, 1996 this oldest government regulatory agency, established in 1887, closed","the Interstate Commerce Commission"
"POETRY","None","The woman with the most quotes in the new edition of Bartlett's Familiar Quotations is this American","Emily Dickinson"
"FAMILIAR PHRASES","None","The phrase "Flower Power" was coined by this poet in the 1960s","Allen Ginsberg"
"20th CENTURY POLITICIANS","None","Last name shared by 2 third party U.S. presidential candidates who ran 20 yrs. apart & each got over a million votes","Wallace (Henry & George)"
"THE 18th CENTURY","None","If the Earl of Chesterfield hadn't gotten England to adopt this, he'd have died March 13 instead of March 24, 1773","the Gregorian Calendar"
"NAVAL HEROES","None","When he was killed in battle in 1805, he was wearing a uniform coat with sewn-on replicas of his 4 orders of chivalry","Admiral Nelson"
"PLAYWRIGHTS","None","He's won 3 Pulitzer Prizes for drama--in 1967, 1975 & 1994","Edward Albee"
"SCIENCE HISTORY","None","In August 1971 on the Moon's surface, an astronaut repeated a famous experiment & declared that this man "was correct"","Galileo"
"U.S.A.","None","In 1999 several counties around Cape Canaveral, Florida were assigned this new telephone area code","321"
"FOOD & DRINK","None","Before the introduction of Diet Coke, this was he leading diet soft drink in the U.S.","Tab"
"LITERARY CHARACTERS","None","In 1829 he leaves an islet in Marseille's harbor & finds treasure on an islet in Italy's Tuscan Archipelago","The Count of Monte Cristo (Edmond Dantes)"
"LITERATURE","None","In early drafts, the heroine of this novel was named Pansy & her family home was called Fontenoy Hall","Gone with the Wind"
"ROYAL COUPLES","None","Princess Sophia of Greece gave up her right of succession to Greece's throne before marrying him in 1962","King Juan Carlos of Spain"
"MEDICINE","None","In 1964 a dean at Tufts' medical school wrote a modern version of this, used at many medical school graduations","the Hippocratic Oath"
"FRENCH NOVELISTS","None","Ideas in his novels that have come true include space travel, television & the submarine","Jules Verne"
"AUTHORS ON AUTHORS","None","Faulkner said this writer "has no courage" & "has never used a word where the reader (may need) a dictionary"","Ernest Hemingway"
"FASHION HISTORY","None","In 1849 Americans traveling to the California gold fields via boat popularized this hat","Panama Hat"
"HISTORIC DOCUMENTS","None","Clause 39 of this reads "No freeman shall be taken, or imprisoned... except by the legal judgment of his peers"","the Magna Carta"
"SPORTS IN AMERICA","None","Founded in 1795, this city that hosts a popular annual sporting event has "sport" in its name","Williamsport"
"POETRY","None","Title hero who "silently rowed to the Charlestown shore, just as the moon rose over the bay"","Paul Revere"
"PLAYS","None","The preface to this 1913 play was entitled "A Professor of Phonetics"","Pygmalion"
"ARCHITECTS","None","This woman designed NYC's Museum for African Art, as well as a famous memorial in Washington, D.C.","Maya Ying Lin"
"FLAGS OF THE WORLD","None",""L'Unifolié" is one of the names popularly given to the new flag unveiled in 1965 by this country","Canada"
"AMERICAN WRITERS","None","These 2 writers of lavish prose, born in North Carolina & Virginia 30 years apart, have the same first & last name","Thomas Wolfe & Tom Wolfe"
"PHRASE ORIGINS","None","In 1945 George Orwell coined this 2-word phrase for "an epoch as horribly stable as the slave empires of antiquity"","cold war"
"VITAMINS & MINERALS","None","The name of this vitamin is from the Latin for "leaf" because leafy green vegetables are a good source","Folic acid"
"ASTRONOMY","None","It's the colorful 2-word term used to describe the motion of galaxies coming toward us, like Andromeda is","blue shift"
"HISTORIC QUOTATIONS","None","According to Suetonius it was inscribed on a parade wagon after the 5-day Pontic campaign of 47 B.C.","\"Veni, Vidi, Vici\" (\"I came, I saw, I conquered\")"
"OPERA","None","The aria "Pour mon ame" by Donizetti includes 9 of these; a few tenors have earned the nickname "King of" them","high Cs"
"PRIME MINISTERS","None","2 of the 4 countries that have had prime ministers who were father & daughter","Bangladesh, India, Pakistan & Sri Lanka"
"20th CENTURY NOVELS","None","It begins, "'To be born again,' sang Gibreel Farishta tumbling from the heavens, 'first you have to die'"","The Satanic Verses (by Salmon Rushdie)"
"SPORTS","None","In 1744 the first mention of this now popular sport said, "away flies the boy to the next ...post and then home with joy"","baseball"
"ACTORS & ROLE","None","In a 2001 film Jon Voight played this man; in a 2002 TV movie, so did John Turturro","Howard Cosell"
"EARLY AMERICAN SHORT STORIES","None","This short story, written around 1820, contains the line "If I can but reach that bridge... I am safe"","\"The Legend of Sleepy Hollow\""
"MYTHS & LEGENDS","None","At a feast he couldn't enjoy his dinner because his life was literally hanging by a thread","Damocles"
"SOCIAL SCIENCE","None","It's estimated that of 6,000 in the world today, half will vanish in the next 100 years, including Jingulu & Chamicuro","Languages"
"ALPHABETS","None","In the phonetic alphabet used by the U.S. military, it's the only letter that has the same name as a warrior people","Zulu"
"TEXTBOOKS","None","Dr. Henry Van Dyke Carter provided 363 drawings for this work first published in 1858","Gray's Anatomy"
"HISTORIC NAMES","None","In 1529 this Spaniard was made Marques del Valle de Oaxaca","Hernán Cortés"
"FAMOUS BUILDINGS","None","Richard Burbage & Sam Wanamaker, about 400 years apart, were responsible for its building & rebuilding","The Globe Theatre"
"PRESIDENTIAL LASTS","None","He was the most recent president who had not previously been a state governor","George H.W. Bush"
"19th CENTURY PRESIDENTS","None","With 5, this president had more attorneys general in his administration than any other president","Ulysses S. Grant"
"HISTORIC FRENCHMEN","None","In 1704 he was commandant of Detroit; a few years later, he was made governor of Louisiana","Antoine de Cadillac"
"BIBLICAL KINGS","None","These 2 men first meet in 1 Samuel 16 when one becomes aware of the musical talent of the other","David & Saul"
"THE GLOBE","None","Of the more than a dozen countries through which the equator passes, this country stretches farthest south","Brazil"
"FAMOUS ENGLISHMEN","None","Andrew Carnegie's future fortune & career were inspired by an 1873 visit with this inventor & engineer","Henry Bessemer"
"1998 OPERA NEWS","None","For his first opera, Andre Previn adapted this 1947 Pulitzer Prize play featuring sex, violence & insanity","A Streetcar Named Desire"
"U.S. CITIES","None","In 1790 this Midwest city was named for a society that had been named for a Roman citizen-soldier","Cincinnati"
"NOTABLE NAMES","None","On January 30, 1997, the 49th anniversary of his death, some of his ashes were scattered in the Ganges River","Mohandas K. Gandhi"
"FAMOUS LASTS","None","In July 2003 the last old-style one of these rolled off an assembly line in Mexico, headed for a museum in Germany","the Volkswagen Beetle"
"PRESIDENTIAL PETS","None","As a warning to Congress, president James Garfield named his dog this","Veto"
"FIRST NAMES","None","The first name of both a naval hero & a character in "Hamlet", it's from the Latin for "timekeeper"","Horatio"
"U.S. COLLEGE TOWNS","None","This 2-word city is named for the founders' wives (they had the same name) & the natural groves found there","Ann Arbor, Michigan"
"THE NATIONAL STATUARY HALL COLLECTION","None","In 2009 Alabama replaced a statue in the collection with one of her at age 7, the first child honored","Helen Keller"
"GAMES","None","In German, this chess piece is "der Springer"","the knight"
"TOYS","None","While making a torsion meter, an engineer got the idea for this classic toy","Slinky"
"BASEBALL TERMS","None","Hall of Famer Willie Stargell called it "a butterfly with hiccups"","a knuckleball"
"COMPOSERS","None","One of his most famous works had its premiere on a barge in 1717","George Frideric Handel (the Water Music)"
"'60s NOVELS' FIRST LINES","None","It begins, "Amerigo Bonasera... waited for justice; vengeance on the men who had so cruelly hurt his daughter"","The Godfather"
"FICTIONAL CHARACTERS","None","The first words he ever spoke to his assistant were "How are you?... You have been in Afghanistan, I perceive"","Sherlock Holmes"
"GEOGRAPHIC PROCESS OF ELIMINATION","None","This country borders the most "stan"s: Afghanistan, Kazakhstan, Kyrgyzstan, Tajikistan & Turkmenistan","Uzbekistan"
"PHRASE ORIGINS","None","Meaning "not working properly", it may date back to a character in the comic strip "The Katzenjammer Kids"","on the fritz"
"SOUTH AFRICA","None","The University of Cape Town is on the grounds of Groote Schuur, the former home of this statesman","Cecil Rhodes"
"DIRECTORS & THEIR FILMS","None","1 of the 2 '90s films by German director Wolfgang Petersen concerned with a U.S. president's safety","(1 of) Air Force One & In the Line of Fire"
"AMERICAN BUSINESS","None","The mailing address for this company is P.O. Box 57, Pittsburgh, Pennsylvania 15230","Heinz"
"CLASSIC SONGS","None","Originally called "Prima Donna", it was renamed for a Renaissance painting & won an Oscar","\"Mona Lisa\""
"ANNUAL EVENTS","None","This annual event was co-created in 1993 by Marie C. Wilson, mother of 5 & president of the National Ms. Foundation","\"Take Your Daughter to Work\" Day"
"BUSINESS & INDUSTRY","None","The Brooklyn Flint Glass Works changed its name to this after moving to a N.Y. town of the same name","Corning"
"FILMS OF THE 1950s","None","The action in this film begins at 10:30 A.M. & plays out in almost-real time until 12:15","High Noon"
"NOTABLE AMERICAN WOMEN","None","In 2004 & 2005 this former university provost topped Forbes' list of the 100 most powerful women in the world","Condoleezza Rice"
"WORLD LEADERS","None","This woman, elected president of Ireland in 1990, used a 1968 Simon & Garfunkel hit in her campaign","Mary Robinson"
"WORLD LANGUAGES","None","Of all the countries with Spanish as an official language, this one is last alphabetically","Venezuela"
"20th CENTURY AMERICANS","None","Rhyming last names of the 2 men pictured <a href="http://www.j-archive.com/media/2009-06-03_FJ.jpg" target="_blank">here</a>, who had two very different professions","Barrow & Darrow"
"BRITISH PAINTERS","None","Tennyson called this British painter, Constable's contemporary, the "Shakespeare of Landscape"","William Turner"
"20th CENTURY LEADERS","None","His name means "son of the young lion" in Hebrew","David Ben-Gurion"
"THE 50 STATES","None","The USA's most-climbed mountain, Monadnock, is in this state associated with rock","New Hampshire"
"MOVIE DIRECTORS","None","Since 1971 he has directed only 6 films, but those 6 have averaged more than $283 million each at the box office","George Lucas"
"THE ELEMENTS","None","At its standard mass, it puts the red in red fireworks; its 90 isotope is found in nuclear fallout","Strontium"
"12-LETTER WORDS","None","A chemist in the 1920s coined this term after finding lavender oil not only hid the odor of his burnt hand but also healed it","aromatherapy"
"ARTISTS","None","One of his last letters said, "I am risking my life for (my work) and my reason has half-foundered owing to it..."","Vincent Van Gogh"
"OCCUPATIONS","None","Called the first U.S. stewardess, Ellen Church later went back to this old job, something the 1st stews had to be","nurse"
"ROYAL RESIDENCES","None","The only palaces on U.S. soil that were built for monarchs are found in this state","Hawaii"
"LANGUAGES","None","The 2 languages on the Rosetta Stone","Egyptian & Greek"
"U.S. PRESIDENTS","None","The first & last to preside over exactly 48 states","William Howard Taft & Dwight Eisenhower"
"AMERICAN FOLKLORE","None","Name of the animal that measured 42 axe handles & 1 plug of chewing tobacco between the horns","Babe the Blue Ox"
"MONARCHS","None","From 1513 to 1972, only men named Christian & Frederick alternated as rulers of this nation","Denmark"
"MAGAZINES","None","Conde Nast's Feb./Mar. 1999 issue of its magazine for these title people was a Guinness record 1,242 pages","Brides (who are planning a June wedding)"
"NONFICTION WRITERS","None","On July 21, 1944 she wrote, "I'm finally getting optimistic... an assassination attempt has been made on Hitler's life"","Anne Frank"
"NO. 1 HITS","None","Topping the charts on Oct. 20, 1962, this novelty song is the only No. 1 hit to have the word "electrodes" in the lyrics","The Monster Mash"
"WORLD GEOGRAPHY","None","It's the only mainland country in the Western Hemisphere that borders only one country","Canada"
"U.S. GOVERNMENT","None","Connecticut was the last of the original 13 states to ratify this & didn’t do it until 1939","the Bill of Rights"
"LANDMARKS","None","Completed in 1869, it has also been known by its nickname "the Highway to India"","the Suez Canal"
"SPORTS STARS","None","He's the only athlete in history to play in both the Super Bowl & the World Series","Deion Sanders"
"BRITISH ROYALTY","None","Born in 1683, the second British king of this name was the last one not born in the British Isles","George"
"NOTABLE WOMEN","None","On Jan. 4, 2007, she said, "For our daughters & our granddaughters, today we have broken the marble ceiling"","Nancy Pelosi"
"LANDMARKS","None","Plans are for steel cables to temporarily replace the over 800 tons of lead that counterbalance it","The Leaning Tower of Pisa"
"THE VATICAN","None","A statue of this man is being erected inside the Vatican's walls near where he was locked up in 1633","Galileo"
"FAMOUS TEXTS","None","Tradition says the author of this work was the sage Vatsyayana; surprisingly, he was celibate","the Kama Sutra"
"TREES","None","To honor a Cherokee leader who died in 1843, a European botanist proposed this name for a tree","Sequoia"
"BREAKFAST CEREALS","None","The first & middle names of this breakfast cereal "spokesman" are Horatio Magellan","Cap'n Crunch"
"OPERATIC TITLE CHARACTERS","None","These title characters of a classic operatic work are a bunch of mythical dwarves","The Nibelung"
"WORLD HISTORY","None","In 1804 this Caribbean country became 1st black nation to gain freedom from European colonial rule","Haiti"
"20th CENTURY PRESIDENTIAL ELECTIONS","None","The last time the Democratic & Republican nominees had once been governor of the same state, this was the state","New York"
"U.S. CITIES","None","Founded in 1758, it's named for a British prime minister who was a noted defender of the American Colonists","Pittsburgh"
"BRITISH HISTORY","None","The 14th Earl of this was prime minister in 1852; the 12th Earl of this had a race named for him","Earl of Derby"
"WORLD CAPITALS","None","The Spaniards named it for the Virgin of the Fair Winds for bringing them safely across the Atlantic","Buenos Aires"
"HISTORIC AMERICAN QUOTATIONS","None","On April 29, 1861 he said, "We seek no conquest…all we ask is to be let alone"","Jefferson Davis"
"WORLD HISTORY","None","Beginning in 1932 all this country's kings have been the country's founder or his sons","Saudi Arabia"
"WORLD LITERATURE","None","A war described in this 1726 novel began over an argument about how to crack open an egg","\"Gulliver's Travels\""
"BIBLICAL GEOGRAPHY","None","During Absalom's rebellion, David took refuge in this region that's east of the Jordan & known for its balm","Gilead"
"20th CENTURY NOVELS","None",""A Girl from a Different World" & "Train to the Urals" are chapters in this 1957 work","Doctor Zhivago"
"PLACE NAMES","None","Its original name, Wai Momi, & its current name both come from the valuable mollusks once found there","Pearl Harbor"
"GARMENTS OF THE WORLD","None","The custom of hijab, Arabic for "veiling", can include this garment, mentioned by Kipling","the burqa"
"THE PRESIDENCY","None","He was the first man to become U.S. president as a result of the 25th Amendment","Gerald Ford"
"MOVIE SOUNDTRACKS","None","This 2000 film was the first drama to have an authorized Led Zeppelin tune on its soundtrack","Almost Famous"
"ROCK & ROLL HISTORY","None","The name "Beatles" was inspired by the backup group of this singer","Buddy Holly (his backup group was called The Crickets)"
"FILM QUOTES","None","From a 1942 movie, No. 2 on Guinness' top 10 film quotes is a line that mentions this liquor","gin"
"THE TONY AWARDS","None","He won his first of 9 Tonys for the first Broadway musical he choreographed, "The Pajama Game"","Bob Fosse"
"COUNTRIES OF THE WORLD","None","The 3 most populous countries, they added up to an estimated 2.42 billion people in 1996","China, India, & the USA"
"SPACE MEN","None","He was the oldest man to walk on the Moon, & the only World War II veteran","Alan Shepard"
"TELECOMMUNICATIONS TERMINOLOGY","None","In 1992 New York got the first one: 917","an overlay area code"
"LITERARY INFLUENCES","None","A 1919 Shaw play subtitled "A Fantasia in the Russian Manner..." is an homage to this playwright who died in 1904","Anton Chekhov"
"U.S. PRESIDENTS","None","Although he graduated 64th out of 112 in his 1935 high school class, he was voted "Most Likely To Succeed"","John Fitzgerald Kennedy"
"TRAVEL & TOURISM","None","City that boasts the tallest U.S. monument, completed in 1965","St. Louis"
"SYNTHETICS","None","The name of this common kitchen material comes from its use in place of a mineral","Formica"
"ATHLETIC ACHIEVEMENTS","None","It took nearly 22 hours to achieve this in 1875; in 1994 it took only 7 hours & 17 minutes","Swimming across the English Channel"
"ENTERTAINERS","None","In 2007 this entertainer & former sitcom star was made an honorary corporal by the U.S. Marine Corps","Jim Nabors"
"POLITICAL WORDS & PHRASES","None","Teddy Roosevelt used this boxing phrase to announce his 1912 candidacy & said, "The fight is on & I'm stripped to the buff"","\"Throw a hat in the ring\""
"THE PLANETS","None","Most of this planet's moons are named for Shakespearean characters","Uranus"
"LITERARY GREATS","None","His last published work, an 1898 poem, was first issued under his cell number","Oscar Wilde (\"The Ballad of Reading Gaol\")"
"THE INTERNET","None","Among suffixes, .mx is Mexico, .jp is Japan, & in March 2000 .ps was assigned to this","Palestine"
"FOOD","None","This cheese was created in 1892 by Emil Frey & named for a New York singing society whose members loved the cheese","Liederkranz"
"HISTORIC WOMEN","None","In 1998 the director of the U.S. Mint called her "A woman of exemplary physical courage and stamina"","Sacajawea"
"PLAYS","None","Based on a myth, this 1913 play became a 1938 movie, a 1956 stage musical & a 1964 movie musical","Pygmalion"
"CELEBRITY NAMES","None","This Oscar winner who had his own WB sitcom took his last name as a tribute to an earlier comic & sitcom star","Jamie Foxx"
"BRITISH NOVELISTS","None","In 1946 he wrote, "Political language... is designed to make lies sound truthful & murder respectable"","George Orwell"
"DESIGN","None","Introduced to desktops in 1950, it was designed by Arnold Neustadter & featured a ball-bearing clutch","Rolodex"
"SPORTS VENUES","None","The last names found on these 2 sports venues, both in Queens, are anagrams of each other","Arthur Ashe Stadium & Shea Stadium"
"20th CENTURY HISTORY","None","On September 2, 1945 New Zealand Air Marshal Leonard Isitt put the final signature on the document that ended this","World War II"
"MAN IN SPACE","None","Now seen as a TV spokesman, he was only astronaut to orbit earth in Mercury, Gemini, & Apollo craft","Wally Schirra"
"AMERICAN HISTORY","None","On April 14, 1865 Abraham Lincoln authorized this govt. agency; its main job then was to protect against counterfeiting","the Secret Service"
"SPORTS AWARDS","None","In the 4 major U.S. sports leagues, he's won more regular season MVP awards than any other player","Wayne Gretzky"
"NOBEL PEACE PRIZE WINNERS","None","The 2 Middle East prime ministers of the same country who shared the 1994 Nobel Peace Prize with another leader","Shimon Peres & Yitzhak Rabin"
"HISTORIC FIRSTS","None","The brother of this leader is believed to be the first known European to have died in the Americas","Leif Ericson"
"NOTABLE WOMEN","None","In 1967 Dame Cicely Saunders founded St. Christopher's, the first modern one of these; in 2005 she died there","a hospice"
"WORLD GEOGRAPHY","None","Heads of state Jiang Zemin & Jorge Sampaio were on hand when this territory changed hands in Dec. 1999","Macau"
"FAMOUS AMERICANS","None","He coined the term "usonian" for his U.S. designs that were meant to bring beauty & humanity to ordinary people","Frank Lloyd Wright"
"ENGLISH LANGUAGE WRITERS","None","In his journal of 1710 to 1713, he referred to himself as "Presto"","Jonathan Swift"
"MUSICAL INSTRUMENTS","None","In the early 18th c. Sylvius Leopold Weiss wrote works for <a href="http://www.j-archive.com/media/2009-10-20_FJ.mp3">these</a> 2 instruments whose names rhyme","the flute & the lute"
"WORLD LEADERS","None","This world leader was the recipient of an Obie Award in 1984","Vaclav Havel"
"POLITICAL JARGON","None","This 2-word term was first used to describe advisors who spoke to the press after a 1984 Reagan-Mondale debate","spin doctors"
"ISLANDS","None","The Carabelli & Durazzo families are considered the Hatfields & McCoys of this island","Corsica"
"HISTORIC NAMES","None","A recent biography of this 13th century man is subtitled "From Venice to Xanadu"","Marco Polo"
"FROM PAGE TO SCREEN","None","A 13-page document typed on April 18, 1945 with the names of 801 men inspired a 1982 book & this 1993 film","Schindler's List"
"NATIONAL ANTHEMS","None","New Zealand has 2 national anthems, "God Defend New Zealand" & this","\"God Save the Queen\""
"PROS & CONS IN HISTORY","None","The two 3-letter words applied to those for & against the 18th Amendment, & states with differing laws on the issue","dry & wet"
"PATRON SAINTS","None","Legend says Saint Rule brought this saint's relics to the coast of Fife in 368","St. Andrew"
"LEGAL TERMS","None","In 1999 Britain replaced Latin legal terms with English ones; "witness summons" replaced this word","subpoena"
"ENGINEERING FEATS","None","In 1937 its chief engineer wrote a poem about it, mentioning its "titan piers" & the "Redwood Empire" to the north","the Golden Gate Bridge"
"ISLAND COUNTRIES","None","In 2002 State Dept. spokesman Richard Boucher called it "The first new nation of the new millennium"","East Timor"
"AUTHORS","None","Author seen <a href="http://www.j-archive.com/media/2006-06-21_FJ.jpg" target="_blank">here</a> with his son","A.A. Milne"
"MOVIE MAKERS & REMAKERS","None","Howard Hawks directed this film with Paul Muni as Tony Camonte; Brian De Palma remade it","Scarface"
"AMERICAN INDIANS","None","This famed Sauk Indian had both a war and a pro sports team named for him","Black Hawk"
"STATE CAPITALS","None","This state capital was a compromise choice between North Platters & South Platters","Lincoln, Nebraska"
"THE INTERNET","None","Among 2-letter country codes in Internet addresses, "de" is Germany, "kh" is Cambodia & "es" is this country","Spain (España)"
"ADVERTISING","None","In Scandinavian countries these characters are known as Pif, Paf & Pof","Snap, Crackle & Pop (from Rice Krispies)"
"HISTORIC AMERICANS","None","An education center at his historic home includes galleries called "First in War" & "A Leader's Smile"","George Washington"
"THE SPACE PROGRAM","None","In 1979 NASA officials received a fine for littering from a small town in this country","Australia"
"U.S. HISTORY","None","This president signed the bill to create a transcontinental railroad; he didn't live to see its completion","Abraham Lincoln"
"AUTHORS","None","In January 1999 this author issued a public statement reminding the world the third millennium really begins Jan. 1, 2001","Arthur C. Clarke"
"RELIGION","None","On Dec. 19, 1894 2 books were formally ordained as the impersonal pastor of this denomination","Christian Scientist"
"INTERNATIONAL BUSINESS","None","Still in existence, it begin in 1688 in a British coffee shop popular with maritime folk; it soon got involved in their business","Lloyd's of London"
"NAMES OF THE 1930s","None","A famous 1936 speech by this man began, "At long last, I am able to say a few words of my own"","King Edward VIII"
"THE 1850s","None","He published a book of prose & verse quotes "to trace to their source passages and phrases in common use"","John Bartlett"
